列番号(0始まり),楽天CSV列名,使用状況,区分(A-E),データ元,生成方法,備考,実データ例(先頭50文字)
0,商品管理番号（商品URL）,使用,A,商品マスター:代表商品コード,参照,商品ページ全体で固定値 f-bic-prt,f-bic-prt
1,商品番号,使用,A,商品マスター:代表商品コード,参照,商品行のみ。SKU行は空欄,f-bic-prt
2,商品名,使用,D,AI生成,AI生成+人間確認,SEOキーワードを含む長尺タイトル。事実情報(対応機種・サイズ等)はAIが追加/変更しない,【4日20時～半額CP】 ARROWS we3 カバー リング付き arrows We2 ケース フ
3,倉庫指定,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,0
4,サーチ表示,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,1
5,消費税,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,1
6,消費税率,未使用(全行空欄),-,-,-,-,
7,販売期間指定（開始日時）,使用,E,人間入力,キャンペーン都度設定,現状は期間限定クーポン等の運用に連動。自動生成対象外,2026/9/4 20:00
8,販売期間指定（終了日時）,使用,E,人間入力,キャンペーン都度設定,現状は期間限定クーポン等の運用に連動。自動生成対象外,2026/9/11 1:59
9,ポイント変倍率,未使用(全行空欄),-,-,-,-,
10,ポイント変倍率適用期間（開始日時）,未使用(全行空欄),-,-,-,-,
11,ポイント変倍率適用期間（終了日時）,未使用(全行空欄),-,-,-,-,
12,終了日未設定,未使用(全行空欄),-,-,-,-,
13,注文ボタン,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,1
14,予約商品発売日,未使用(全行空欄),-,-,-,-,
15,ソーシャルギフト,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,1
16,商品問い合わせボタン,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,1
17,闇市パスワード,未使用(全行空欄),-,-,-,-,
18,在庫表示,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,5
19,代引料,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,0
20,ジャンルID,使用,C,設定・固定値マスター,固定値,全SKU/商品共通の店舗設定値,560271
21,非製品属性タグID,未使用(全行空欄),-,-,-,-,
22,キャッチコピー,使用,D,AI生成,AI生成+人間確認,事実情報(仕様・価格・セット内容等)はAIが変更しないこと(仕様書13章),arrows We3 保護フィルム アローズwe3 ケース アローズwe2 フィルム アローズ F5
23,PC用商品説明文,使用,D,AI生成,AI生成+人間確認,事実情報(仕様・価格・セット内容等)はAIが変更しないこと(仕様書13章),"<!-- カタログ --><br><p><a href=""https://image.rakuten"
24,スマートフォン用商品説明文,使用,D,AI生成,AI生成+人間確認,事実情報(仕様・価格・セット内容等)はAIが変更しないこと(仕様書13章),"<!--EC-UP_Breadcrumbs_1_START--><br><font size=""3"""
25,PC用販売説明文,使用,D,AI生成,AI生成+人間確認,事実情報(仕様・価格・セット内容等)はAIが変更しないこと(仕様書13章),"<p><img src=""https://image.rakuten.co.jp/x-mall/ca"
26,商品画像タイプ1,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
27,商品画像パス1,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/top/""+代表商品コード+"".jpg""",確定(2026-09-09)。実ファイルのアップロードは別工程(人間),/0904/f-bic-prt.jpg
28,商品画像名（ALT）1,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
29,商品画像タイプ2,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
